sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,product,neighborhood
99,86,3,2,,,3,0,1071,251569,2541,0,False,2020,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,0,1,0,0,piso,131
77,66,3,1,,,1,0,598,113500,1474,1,False,1968,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,1,0,0,0,piso,133
85,75,3,1,,,4,0,698,138000,1624,0,False,1966,0,1,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
90,73,3,2,,,2,0,994,225000,2500,0,False,,,,1,1,1,1,0,1,0,0,1,0,1,,1,1,0,,,,,piso,131
133,80,2,1,,,6,0,1105,264000,1985,0,False,2003,0,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,0,,,,,piso,133
60,,3,1,,,2,0,531,98260,1638,0,False,1960,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
133,101,3,3,,,7,0,1135,275000,2068,0,False,2004,0,1,0,1,1,1,0,1,1,0,1,0,0,,0,,,,,,,piso,131
85,,2,1,,,2,0,642,124000,1459,0,False,1967,0,1,1,0,0,1,0,0,0,1,0,0,0,,0,,,0,0,1,1,piso,134
59,,2,2,,,3,0,797,164513,2788,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,132
59,,2,2,,,1,0,796,164416,2787,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,132
58,,2,2,,,4,0,800,165435,2852,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,132
79,,3,2,,,1,0,925,202629,2565,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,132
60,,2,2,,,bajo,1,796,164242,2737,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,132
121,,3,2,,,3,0,1094,260000,2149,0,False,2001,0,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,0,1,0,0,1,piso,133
126,,3,2,,,2,0,1187,294900,2340,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,134
134,,4,2,,,1,0,1250,319900,2387,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,134
111,,3,2,,,1,0,1094,259900,2341,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,134
122,,3,2,,,2,0,1164,285900,2343,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,134
125,,3,2,,,1,0,1174,289900,2319,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,134
102,,2,2,,,1,0,1066,249900,2450,0,True,,,,0,1,1,1,0,1,1,0,1,0,1,,1,1,0,,,,,piso,134
104,88,3,2,,,1,0,1131,273352,2628,0,False,2020,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,0,1,1,0,piso,131
66,,3,1,,,1,0,561,104900,1589,0,False,,0,1,0,1,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,135
95,,2,1,,,2,0,762,155000,1632,0,False,1965,0,1,0,0,0,1,0,0,1,1,0,0,0,,0,,,0,0,1,1,piso,134
74,69,3,1,,,1,0,539,100000,1351,0,False,1968,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,135
97,,2,1,,,bajo,1,948,210000,2165,0,False,2003,0,1,0,1,1,1,0,1,1,0,1,1,0,,1,1,0,0,0,1,1,piso,131
90,85,2,2,,,7,0,1038,240000,2667,0,False,2004,0,1,1,1,1,1,0,1,0,0,1,0,0,,1,1,0,0,1,0,0,atico,134
130,,4,2,,,3,0,1086,257000,1977,0,False,,0,1,1,1,1,1,0,1,1,0,0,0,1,,0,,,0,1,0,1,piso,134
49,44,2,1,,,bajo,1,466,84000,1714,0,False,1969,0,1,0,0,1,1,0,0,0,0,0,1,1,,0,,,1,0,0,0,piso,134
151,100,3,2,,,6,0,1235,314000,2079,0,False,,0,1,1,1,1,1,0,1,0,0,1,1,1,,1,1,0,,,,,piso,133
69,,3,1,,,4,0,570,107000,1551,0,False,1961,,,0,0,0,1,0,0,1,0,1,0,0,,0,,,,,,,piso,135
170,,3,2,,,8,0,1262,325000,1912,0,False,2010,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,0,0,1,1,atico,131
48,39,2,1,,,,,489,89000,1854,0,,1971,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
98,,3,2,,,7,0,1161,284900,2907,0,False,2001,0,1,1,1,1,1,0,1,0,0,1,0,1,,1,1,0,1,0,0,1,piso,133
50,,1,1,,,7,0,686,135000,2700,0,False,2008,0,1,1,1,1,1,0,1,0,0,1,1,0,,1,1,0,0,0,1,0,piso,134
136,92,3,2,,,5,0,1009,230000,1691,0,False,1999,0,1,0,1,1,1,0,0,1,0,0,1,0,,1,1,0,0,1,1,1,atico,134
80,,3,1,,,3,0,791,163000,2038,0,False,,,,1,1,1,1,0,0,0,0,1,0,0,,0,,,,,,,piso,132
95,90,3,1,,,2,0,868,185000,1947,0,False,1975,0,1,1,1,0,1,0,0,1,0,0,0,0,,0,,,0,0,1,1,piso,134
56,,3,1,,,5,0,447,80000,1429,1,False,1965,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,132
43,35,1,1,,,bajo,1,466,84000,1953,0,False,1971,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
72,,3,1,,,3,0,625,119900,1665,1,False,,,,0,0,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
100,,4,2,,,1,0,762,154900,1549,0,False,,,,0,0,1,1,0,0,0,0,1,0,0,,0,,,,,,,piso,132
70,,3,1,,,4,0,625,119900,1713,1,False,,,,0,1,1,1,0,0,1,0,0,0,0,,0,,,,,,,piso,132
60,,2,1,,,bajo,1,446,79900,1332,0,False,,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,135
60,,2,1,,,2,0,446,79900,1332,0,False,,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
91,,3,2,,,3,0,666,129900,1427,0,False,,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,132
74,,3,1,,,2,0,539,99900,1350,1,False,,,,0,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,piso,134
110,,3,2,,,5,0,1135,275000,2500,0,False,,,,1,1,1,1,0,1,0,0,1,0,1,,1,1,0,1,0,1,0,piso,131
83,,3,1,,,3,0,501,91500,1102,0,False,1966,,,0,0,0,1,0,0,1,1,0,0,0,,0,,,0,0,0,1,piso,134
25,,0,1,,,,,662,129000,5160,0,False,,,,0,0,1,,0,1,0,0,1,0,1,,1,1,0,,,,,estudio,133
65,,2,1,,,entreplanta exterior,1,479,86860,1336,1,False,1982,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,0,0,1,piso,134
58,48,3,1,,,3,0,561,105000,1810,0,False,1966,0,1,0,0,0,1,0,0,0,1,0,0,0,,0,,,0,0,1,0,piso,131
