sq_mt_built,n_bathrooms,n_rooms,rent_price,n_bathrooms,sq_mt_built,buy_price_by_area,has_garden,has_pool,neighborhood,has_pool,buy_price
60.0,1.0,2,446,1.0,60.0,1332,0,0,134,0,79900
91.0,2.0,3,666,2.0,91.0,1427,0,0,132,0,129900
74.0,1.0,3,539,1.0,74.0,1350,0,0,134,0,99900
110.0,2.0,3,1135,2.0,110.0,2500,0,1,131,1,275000
83.0,1.0,3,501,1.0,83.0,1102,0,0,134,0,91500
25.0,1.0,0,662,1.0,25.0,5160,0,1,133,1,129000
65.0,1.0,2,479,1.0,65.0,1336,0,0,134,0,86860
58.0,1.0,3,561,1.0,58.0,1810,0,0,131,0,105000
115.0,2.0,3,967,2.0,115.0,1878,0,1,131,1,216000
82.0,1.0,3,625,1.0,82.0,1463,0,0,134,0,120000
83.0,1.0,3,686,1.0,83.0,1627,0,0,134,0,135000
90.0,1.0,2,954,1.0,90.0,2356,0,1,131,1,212000
95.0,2.0,2,864,2.0,95.0,1937,0,0,135,0,184000
89.0,1.0,3,780,1.0,89.0,1798,0,0,134,0,160000
178.0,2.0,4,1200,2.0,178.0,1685,0,1,133,1,299990
59.0,1.0,2,613,1.0,59.0,1983,0,0,133,0,117000
100.0,1.0,4,798,1.0,100.0,1650,0,0,132,0,165000
68.0,1.0,3,517,1.0,68.0,1397,0,0,134,0,95000
50.0,1.0,2,566,1.0,50.0,2120,0,0,134,0,106000
114.0,2.0,4,1006,2.0,114.0,2009,0,0,134,0,229000
81.0,2.0,3,762,2.0,81.0,1914,0,0,134,0,155000
91.0,2.0,2,1004,2.0,91.0,2508,0,1,131,1,228208
95.0,1.0,3,539,1.0,95.0,1053,0,0,131,0,100000
80.0,1.0,3,705,1.0,80.0,1750,0,0,134,0,140000
60.0,1.0,2,561,1.0,60.0,1750,0,0,134,0,105000
80.0,1.0,3,798,1.0,80.0,2062,0,0,132,0,165000
60.0,1.0,2,413,1.0,60.0,1217,0,0,135,0,73000
50.0,1.0,1,777,1.0,50.0,3180,0,1,134,1,159000
